food_name,lang,alias
雙層牛肉堡,zh-TW,雙層牛肉堡
起司牛肉堡,zh-TW,起司牛肉堡
培根牛肉堡,zh-TW,培根牛肉堡
勁辣雞腿堡,zh-TW,勁辣雞腿堡
麥香雞,zh-TW,麥香雞
炸魚堡,zh-TW,炸魚堡
花生牛肉堡,zh-TW,花生牛肉堡
照燒豬肉堡,zh-TW,照燒豬肉堡
總匯三明治,zh-TW,總匯三明治
鮪魚三明治,zh-TW,鮪魚三明治
燻雞三明治,zh-TW,燻雞三明治
培根蛋吐司,zh-TW,培根蛋吐司
薯餅蛋吐司,zh-TW,薯餅蛋吐司
肉鬆蛋吐司,zh-TW,肉鬆蛋吐司
火腿起司蛋吐司,zh-TW,火腿起司蛋吐司
玉米蛋吐司,zh-TW,玉米蛋吐司
培根蛋餅,zh-TW,培根蛋餅
肉鬆蛋餅,zh-TW,肉鬆蛋餅
鮪魚蛋餅,zh-TW,鮪魚蛋餅
薯餅蛋餅,zh-TW,薯餅蛋餅
蔥抓餅,zh-TW,蔥抓餅
起司蔥抓餅,zh-TW,起司蔥抓餅
培根蔥抓餅,zh-TW,培根蔥抓餅
蘿蔔糕炒蛋,zh-TW,蘿蔔糕炒蛋
黑胡椒鐵板麵,zh-TW,黑胡椒鐵板麵
蘑菇鐵板麵,zh-TW,蘑菇鐵板麵
沙茶鐵板麵,zh-TW,沙茶鐵板麵
豬排鐵板麵,zh-TW,豬排鐵板麵
雞排鐵板麵,zh-TW,雞排鐵板麵
奶油培根義大利麵,zh-TW,奶油培根義大利麵
蒜香蛤蜊義大利麵,zh-TW,蒜香蛤蜊義大利麵
辣味海鮮義大利麵,zh-TW,辣味海鮮義大利麵
海鮮燉飯,zh-TW,海鮮燉飯
奶油雞肉燉飯,zh-TW,奶油雞肉燉飯
松露野菇燉飯,zh-TW,松露野菇燉飯
牛肉燴飯,zh-TW,牛肉燴飯
蝦仁燴飯,zh-TW,蝦仁燴飯
什錦燴飯,zh-TW,什錦燴飯
麻婆豆腐飯,zh-TW,麻婆豆腐飯
宮保雞丁飯,zh-TW,宮保雞丁飯
糖醋雞丁飯,zh-TW,糖醋雞丁飯
三杯雞飯,zh-TW,三杯雞飯
照燒雞腿飯,zh-TW,照燒雞腿飯
鹽烤雞腿便當,zh-TW,鹽烤雞腿便當
炸豬排便當,zh-TW,炸豬排便當
蒲燒鯛魚便當,zh-TW,蒲燒鯛魚便當
蒜泥白肉飯,zh-TW,蒜泥白肉飯
滷牛腱飯,zh-TW,滷牛腱飯
雞米花,zh-TW,雞米花
炸魷魚,zh-TW,炸魷魚
鹹酥杏鮑菇,zh-TW,鹹酥杏鮑菇
炸四季豆,zh-TW,炸四季豆
煉乳銀絲卷,zh-TW,煉乳銀絲卷
椒鹽雞軟骨,zh-TW,椒鹽雞軟骨
甜甜圈,zh-TW,甜甜圈
可頌,zh-TW,可頌
巧克力可頌,zh-TW,巧克力可頌
丹麥麵包,zh-TW,丹麥麵包
奶酥麵包,zh-TW,奶酥麵包
肉鬆麵包,zh-TW,肉鬆麵包
菠蘿麵包,zh-TW,菠蘿麵包
提拉米蘇,zh-TW,提拉米蘇
乳酪蛋糕,zh-TW,乳酪蛋糕
巧克力蛋糕,zh-TW,巧克力蛋糕
布朗尼,zh-TW,布朗尼
泡芙,zh-TW,泡芙
烤布蕾,zh-TW,烤布蕾
奶酪,zh-TW,奶酪
紅豆湯,zh-TW,紅豆湯
綠豆湯,zh-TW,綠豆湯
燒仙草,zh-TW,燒仙草
八寶粥,zh-TW,八寶粥
南瓜濃湯,zh-TW,南瓜濃湯
羅宋湯,zh-TW,羅宋湯
番茄牛肉湯,zh-TW,番茄牛肉湯
藥膳排骨湯,zh-TW,藥膳排骨湯
酸菜白肉鍋,zh-TW,酸菜白肉鍋
牛奶鍋,zh-TW,牛奶鍋
起司牛奶鍋,zh-TW,起司牛奶鍋
壽喜燒,zh-TW,壽喜燒
黑糖珍珠鮮奶,zh-TW,黑糖珍珠鮮奶
抹茶拿鐵,zh-TW,抹茶拿鐵
烏梅汁,zh-TW,烏梅汁
酸梅湯,zh-TW,酸梅湯
冬瓜鮮奶,zh-TW,冬瓜鮮奶
奶蓋紅茶,zh-TW,奶蓋紅茶
奶蓋綠茶,zh-TW,奶蓋綠茶
芋頭鮮奶,zh-TW,芋頭鮮奶
芋頭牛奶,zh-TW,芋頭牛奶
芝芝葡萄,zh-TW,芝芝葡萄
楊枝甘露,zh-TW,楊枝甘露
芒果冰沙,zh-TW,芒果冰沙
草莓冰沙,zh-TW,草莓冰沙
藍莓優格飲,zh-TW,藍莓優格飲
可爾必思,zh-TW,可爾必思
蜂蜜柚子茶,zh-TW,蜂蜜柚子茶
