food_name,lang,alias
舒肥雞胸沙拉,zh-TW,舒肥雞胸沙拉
舒肥雞胸沙拉,zh-TW,雞胸沙拉
舒肥雞胸沙拉,zh-TW,舒肥雞沙拉
鮪魚玉米飯糰,zh-TW,鮪魚玉米飯糰
鮪魚玉米飯糰,zh-TW,鮪魚飯糰
鮪魚玉米飯糰,zh-TW,鮪魚御飯糰
鮭魚飯糰,zh-TW,鮭魚飯糰
鮭魚飯糰,zh-TW,鮭魚御飯糰
鮭魚飯糰,zh-TW,鮭魚飯團
煙燻雞三明治,zh-TW,煙燻雞三明治
煙燻雞三明治,zh-TW,雞肉三明治
煙燻雞三明治,zh-TW,煙燻雞三明治全麥
全麥蛋沙拉三明治,zh-TW,全麥蛋沙拉三明治
全麥蛋沙拉三明治,zh-TW,蛋沙拉三明治
全麥蛋沙拉三明治,zh-TW,全麥蛋沙拉
烤雞腿便當,zh-TW,烤雞腿便當
烤雞腿便當,zh-TW,雞腿便當
烤雞腿便當,zh-TW,烤雞便當
茶葉蛋2顆,zh-TW,茶葉蛋2顆
茶葉蛋2顆,zh-TW,茶葉蛋兩顆
茶葉蛋2顆,zh-TW,茶葉蛋
無糖優格杯,zh-TW,無糖優格杯
無糖優格杯,zh-TW,無糖優格
無糖優格杯,zh-TW,原味優格杯
毛豆杯,zh-TW,毛豆杯
毛豆杯,zh-TW,毛豆
毛豆杯,zh-TW,鹽味毛豆
綜合生菜沙拉,zh-TW,綜合生菜沙拉
綜合生菜沙拉,zh-TW,生菜沙拉
綜合生菜沙拉,zh-TW,綜合沙拉
雞胸肉蛋白餐盒,zh-TW,雞胸肉蛋白餐盒
雞胸肉蛋白餐盒,zh-TW,蛋白餐盒
雞胸肉蛋白餐盒,zh-TW,雞胸蛋白餐
海苔飯捲,zh-TW,海苔飯捲
海苔飯捲,zh-TW,飯捲
海苔飯捲,zh-TW,海苔捲
蕎麥冷麵,zh-TW,蕎麥冷麵
蕎麥冷麵,zh-TW,冷蕎麥麵
蕎麥冷麵,zh-TW,冷麵
味噌豆腐湯,zh-TW,味噌豆腐湯
味噌豆腐湯,zh-TW,味噌湯
味噌豆腐湯,zh-TW,豆腐味噌湯
雞肉蔬菜湯,zh-TW,雞肉蔬菜湯
雞肉蔬菜湯,zh-TW,雞湯蔬菜杯
雞肉蔬菜湯,zh-TW,蔬菜雞湯
玉米濃湯(小),zh-TW,玉米濃湯(小)
玉米濃湯(小),zh-TW,玉米濃湯小杯
玉米濃湯(小),zh-TW,小杯玉米濃湯
雞胸肉捲餅,zh-TW,雞胸肉捲餅
雞胸肉捲餅,zh-TW,雞肉捲餅
雞胸肉捲餅,zh-TW,雞胸捲餅
鮪魚蛋三明治,zh-TW,鮪魚蛋三明治
鮪魚蛋三明治,zh-TW,鮪魚蛋吐司
鮪魚蛋三明治,zh-TW,鮪魚蛋夾心
